1.督脈 ,,,,,,,
経絡, 経穴,部位 ,要穴 ,筋肉<神経(筋枝)> ,神経(皮枝) ,血管 ,ランク 
督脈 ,長強 ,会陰部、尾骨の下方、尾骨端と[[肛門]]の中央 ,【督脈の絡穴】 ,肛門尾骨靭帯/外肛門括約筋<陰部N(下直腸N)> ,陰部N(下直腸N) ,内陰部A(下直腸A) ,S 
督脈 ,腰兪 ,仙骨部、後正中線上、[[仙骨裂孔 ]], ,浅後仙尾靱帯 ,仙骨N後枝 ,下殿A ,C 
督脈 ,腰陽関 ,腰部、後正中線上、[[第４腰椎]]棘突起下方の陥凹部 , ,棘上靭帯・棘間靭帯/棘間筋<腰N後枝> ,腰N後枝 ,腰A背枝 ,A 
督脈 ,命門 ,腰部、後正中線上、[[第２腰椎]]棘突起下方の陥凹部 , ,棘上靭帯・棘間靭帯/棘間筋<腰N後枝> ,腰N後枝 ,腰A背枝 ,S 
督脈 ,懸枢 ,腰部、後正中線上、[[第１腰椎]]棘突起下方の陥凹部 , ,棘上靭帯・棘間靭帯/棘間筋<腰N後枝> ,腰N後枝 ,腰A背枝 ,C 
督脈 ,脊中 ,上背部、後正中線上、[[第１１胸椎]]棘突起下方の陥凹部 , ,棘上靭帯・棘間靭帯 ,胸N後枝 ,肋間A背枝 ,C 
督脈 ,中枢 ,上背部、後正中線上、[[第１０胸椎]]棘突起下方の陥凹部 , ,棘上靭帯・棘間靭帯 ,胸N後枝 ,肋間A背枝 ,C 
督脈 ,筋縮 ,上背部、後正中線上、[[第９胸椎]]棘突起下方の陥凹部 , ,棘上靭帯・棘間靭帯 ,胸N後枝 ,肋間A背枝 ,C 
督脈 ,至陽 ,上背部、後正中線上、[[第７胸椎]]棘突起下方の陥凹部 , ,棘上靭帯・棘間靭帯 ,胸N後枝 ,肋間A背枝 ,A 
督脈 ,霊台 ,上背部、後正中線上、[[第６胸椎]]棘突起下方の陥凹部 , ,棘上靭帯・棘間靭帯 ,胸N後枝 ,肋間A背枝 ,C 
督脈 ,神道 ,上背部、後正中線上、[[第５胸椎]]棘突起下方の陥凹部 , ,棘上靭帯・棘間靭帯 ,胸N後枝 ,肋間A背枝 ,B 
督脈 ,身柱 ,上背部、後正中線上、[[第３胸椎]]棘突起下方の陥凹部 , ,棘上靭帯・棘間靭帯 ,胸N後枝 ,肋間A背枝 ,A 
